בישול,,,,,,,,,,,,
,,,,,,,,,,,,
שריפה,,,,,,,,,,,,
material,פחם,מלח,זכוכית וולקנית,כסף,שרף,אצות גביש,קורי עכביש המעמקים,טחב המערות,טופר חתול,לוטוס נהרות,אספסת הכתרים,חשופית השממה
פחם,,פיצוץ,ממריץ,מעצים,אגרסיביות,נטרול,ממריץ,לא פעיל,אד רעיל,ריק,ריק,ריק
מלח,,,מחריש,חיבור קוסמי,מעורר,חוסם נשמה,מחזק סיבולת,מסנוור,סנוור,ריק,ריק,ריק
זכוכית וולקנית,,,,לא פעיל,בזבזני,אד רעיל,מעצים,מחזק מנטלית,מעצים השפעה,ריק,ריק,ריק
כסף,,,,,מחליש מנטאלית,מבטל עכבות,מאיץ החלמה,עמידות פיזית,מנטרל אלכימי,ריק,ריק,ריק
שרף,,,,,,מעורר נשמה,עילפון,מגביר אלכימי,עילפון,ריק,ריק,ריק
אצות גביש,,,,,,,חיבור קוסמי,מעורר זכרון,חסם נשמה,ריק,ריק,ריק
קורי עכביש המעמקים,,,,,,,,רעיל,חוסר שליטה,ריק,ריק,ריק
טחב המערות,,,,,,,,,ממריץ,ריק,ריק,ריק
טופר חתול,,,,,,,,,,ריק,ריק,ריק
לוטוס נהרות,,,,,,,,,,,ריק,ריק
אספסת הכתרים,,,,,,,,,,,,ריק
חשופית השממה,,,,,,,,,,,,
